X,CH1,CH2,
-1.68140e-03,5.00e+00,2.40e-01,
-1.68040e-03,5.00e+00,1.60e-01,
-1.67940e-03,4.80e+00,4.00e-01,
-1.67840e-03,2.00e-01,2.40e-01,
-1.67740e-03,2.00e-01,5.20e+00,
-1.67640e-03,0.00e+00,4.96e+00,
-1.67540e-03,4.00e-01,4.88e+00,
-1.67440e-03,2.00e-01,4.88e+00,
-1.67340e-03,5.20e+00,5.12e+00,
-1.67240e-03,5.00e+00,4.96e+00,
-1.67140e-03,5.00e+00,4.88e+00,
-1.67040e-03,5.00e+00,4.88e+00,
-1.66940e-03,4.80e+00,1.60e-01,
-1.66840e-03,4.80e+00,7.99e-02,
-1.66740e-03,5.00e+00,3.20e-01,
-1.66640e-03,5.00e+00,2.40e-01,
-1.66540e-03,4.80e+00,2.40e-01,
-1.66440e-03,5.00e+00,2.40e-01,
-1.66340e-03,2.00e-01,5.12e+00,
-1.66240e-03,2.00e-01,4.96e+00,
-1.66140e-03,4.00e-01,4.96e+00,
-1.66040e-03,4.00e-01,4.88e+00,
-1.65940e-03,0.00e+00,5.12e+00,
-1.65840e-03,5.00e+00,5.04e+00,
-1.65740e-03,4.80e+00,4.96e+00,
-1.65640e-03,5.00e+00,4.96e+00,
-1.65540e-03,4.80e+00,1.60e-01,
-1.65440e-03,4.80e+00,2.40e-01,
-1.65340e-03,5.00e+00,2.40e-01,
-1.65240e-03,4.80e+00,2.40e-01,
-1.65140e-03,5.00e+00,1.60e-01,
-1.65040e-03,5.20e+00,2.40e-01,
-1.64940e-03,2.00e-01,4.80e-01,
-1.64840e-03,0.00e+00,5.04e+00,
-1.64740e-03,4.00e-01,4.96e+00,
-1.64640e-03,2.00e-01,4.96e+00,
-1.64540e-03,4.00e-01,5.04e+00,
-1.64440e-03,0.00e+00,5.04e+00,
-1.64340e-03,5.00e+00,4.96e+00,
-1.64240e-03,4.80e+00,4.96e+00,
-1.64140e-03,5.00e+00,2.40e-01,
-1.64040e-03,5.00e+00,2.40e-01,
-1.63940e-03,4.80e+00,1.60e-01,
-1.63840e-03,4.80e+00,1.60e-01,
-1.63740e-03,5.20e+00,1.44e+00,
-1.63640e-03,5.00e+00,2.40e-01,
-1.63540e-03,4.80e+00,3.20e-01,
-1.63440e-03,2.00e-01,2.40e-01,
-1.63340e-03,-6.00e-01,5.20e+00,
-1.63240e-03,0.00e+00,4.96e+00,
-1.63140e-03,4.00e-01,4.96e+00,
-1.63040e-03,2.00e-01,5.20e+00,
-1.62940e-03,5.00e+00,4.96e+00,
-1.62840e-03,5.00e+00,4.96e+00,
-1.62740e-03,4.80e+00,4.88e+00,
-1.62640e-03,5.00e+00,1.60e-01,
-1.62540e-03,4.80e+00,2.40e-01,
-1.62440e-03,4.80e+00,2.40e-01,
-1.62340e-03,5.00e+00,3.20e-01,
-1.62240e-03,4.80e+00,2.40e-01,
-1.62140e-03,5.00e+00,2.40e-01,
-1.62040e-03,4.80e+00,2.40e-01,
-1.61940e-03,2.00e-01,5.12e+00,
-1.61840e-03,2.00e-01,4.96e+00,
-1.61740e-03,0.00e+00,4.96e+00,
-1.61640e-03,2.00e-01,4.88e+00,
-1.61540e-03,5.80e+00,5.36e+00,
-1.61440e-03,5.20e+00,4.96e+00,
-1.61340e-03,4.80e+00,4.88e+00,
-1.61240e-03,5.00e+00,4.96e+00,
-1.61140e-03,4.80e+00,1.60e-01,
-1.61040e-03,5.00e+00,4.00e-01,
-1.60940e-03,4.80e+00,2.40e-01,
-1.60840e-03,4.80e+00,4.00e-01,
-1.60740e-03,5.00e+00,2.40e-01,
-1.60640e-03,5.00e+00,2.40e-01,
-1.60540e-03,2.00e-01,5.12e+00,
-1.60440e-03,4.00e-01,5.04e+00,
-1.60340e-03,2.00e-01,4.96e+00,
-1.60240e-03,2.00e-01,4.88e+00,
-1.60140e-03,5.00e+00,5.12e+00,
-1.60040e-03,5.00e+00,4.96e+00,
-1.59940e-03,5.20e+00,4.96e+00,
-1.59840e-03,5.00e+00,4.88e+00,
-1.59740e-03,4.80e+00,1.60e-01,
-1.59640e-03,4.80e+00,1.60e-01,
-1.59540e-03,5.20e+00,2.40e-01,
-1.59440e-03,5.00e+00,2.40e-01,
-1.59340e-03,5.00e+00,2.40e-01,
-1.59240e-03,5.00e+00,2.40e-01,
-1.59140e-03,0.00e+00,2.40e-01,
-1.59040e-03,4.00e-01,4.80e-01,
-1.58940e-03,2.00e-01,5.12e+00,
-1.58840e-03,4.00e-01,4.96e+00,
-1.58740e-03,2.00e-01,4.88e+00,
-1.58640e-03,5.00e+00,5.04e+00,
-1.58540e-03,5.20e+00,4.88e+00,
-1.58440e-03,5.20e+00,4.96e+00,
-1.58340e-03,4.80e+00,2.40e-01,
-1.58240e-03,4.80e+00,7.99e-02,
-1.58140e-03,5.00e+00,2.40e-01,
-1.58040e-03,5.00e+00,2.40e-01,
-1.57940e-03,4.80e+00,2.40e-01,
-1.57840e-03,5.00e+00,2.40e-01,
-1.57740e-03,0.00e+00,2.40e-01,
-1.57640e-03,2.00e-01,2.40e-01,
-1.57540e-03,4.00e-01,5.28e+00,
-1.57440e-03,2.00e-01,4.88e+00,
-1.57340e-03,4.00e-01,4.96e+00,
-1.57240e-03,2.00e-01,4.96e+00,
-1.57140e-03,5.20e+00,5.12e+00,
-1.57040e-03,4.80e+00,4.96e+00,
-1.56940e-03,5.00e+00,4.88e+00,
-1.56840e-03,4.80e+00,1.60e-01,
-1.56740e-03,5.00e+00,4.00e-01,
-1.56640e-03,5.00e+00,2.40e-01,
-1.56540e-03,4.80e+00,-7.99e-02,
-1.56440e-03,4.80e+00,2.40e-01,
-1.56340e-03,5.00e+00,2.40e-01,
-1.56240e-03,2.00e-01,2.40e-01,
-1.56140e-03,2.00e-01,5.28e+00,
-1.56040e-03,0.00e+00,4.96e+00,
-1.55940e-03,4.00e-01,4.96e+00,
-1.55840e-03,2.00e-01,4.96e+00,
-1.55740e-03,5.40e+00,5.12e+00,
-1.55640e-03,5.00e+00,4.96e+00,
-1.55540e-03,4.80e+00,4.88e+00,
-1.55440e-03,4.80e+00,4.96e+00,
-1.55340e-03,5.00e+00,1.60e-01,
-1.55240e-03,5.00e+00,2.40e-01,
-1.55140e-03,4.80e+00,4.00e-01,
-1.55040e-03,4.80e+00,2.40e-01,
-1.54940e-03,5.00e+00,2.40e-01,
-1.54840e-03,5.00e+00,3.20e-01,
-1.54740e-03,2.00e-01,2.40e-01,
-1.54640e-03,2.00e-01,5.12e+00,
-1.54540e-03,4.00e-01,4.88e+00,
-1.54440e-03,2.00e-01,4.88e+00,
-1.54340e-03,5.00e+00,5.12e+00,
-1.54240e-03,4.80e+00,4.96e+00,
-1.54140e-03,5.20e+00,4.88e+00,
-1.54040e-03,5.00e+00,4.96e+00,
-1.53940e-03,4.80e+00,1.60e-01,
-1.53840e-03,5.00e+00,2.40e-01,
-1.53740e-03,4.80e+00,1.60e-01,
-1.53640e-03,4.80e+00,2.40e-01,
-1.53540e-03,5.00e+00,1.60e-01,
-1.53440e-03,4.80e+00,2.40e-01,
-1.53340e-03,2.00e-01,2.40e-01,
-1.53240e-03,2.00e-01,2.40e-01,
-1.53140e-03,4.00e-01,5.28e+00,
-1.53040e-03,2.00e-01,4.96e+00,
-1.52940e-03,5.00e+00,4.96e+00,
-1.52840e-03,5.00e+00,5.28e+00,
-1.52740e-03,5.20e+00,4.96e+00,
-1.52640e-03,4.80e+00,4.96e+00,
-1.52540e-03,5.00e+00,4.00e-01,
-1.52440e-03,5.00e+00,1.60e-01,
-1.52340e-03,4.80e+00,2.40e-01,
-1.52240e-03,5.00e+00,2.40e-01,
-1.52140e-03,5.20e+00,4.00e-01,
-1.52040e-03,5.20e+00,1.60e-01,
-1.51940e-03,0.00e+00,3.20e-01,
-1.51840e-03,2.00e-01,2.40e-01,
-1.51740e-03,-2.00e-01,5.84e+00,
-1.51640e-03,0.00e+00,4.88e+00,
-1.51540e-03,6.00e-01,5.12e+00,
-1.51440e-03,5.20e+00,4.96e+00,
-1.51340e-03,4.80e+00,5.12e+00,
-1.51240e-03,5.00e+00,4.96e+00,
-1.51140e-03,4.80e+00,4.96e+00,
-1.51040e-03,4.80e+00,4.96e+00,
-1.50940e-03,5.00e+00,1.60e-01,
-1.50840e-03,4.80e+00,2.40e-01,
-1.50740e-03,5.00e+00,2.40e-01,
-1.50640e-03,5.00e+00,2.40e-01,
-1.50540e-03,4.00e-01,2.40e-01,
-1.50440e-03,4.00e-01,-7.99e-02,
-1.50340e-03,0.00e+00,5.12e+00,
-1.50240e-03,2.00e-01,4.96e+00,
-1.50140e-03,4.00e-01,4.96e+00,
-1.50040e-03,2.00e-01,4.88e+00,
-1.49940e-03,5.20e+00,5.12e+00,
-1.49840e-03,5.00e+00,4.96e+00,
-1.49740e-03,5.00e+00,4.96e+00,
-1.49640e-03,5.00e+00,4.96e+00,
-1.49540e-03,4.80e+00,1.60e-01,
-1.49440e-03,5.00e+00,2.40e-01,
-1.49340e-03,4.80e+00,2.40e-01,
-1.49240e-03,4.80e+00,2.40e-01,
-1.49140e-03,5.20e+00,2.40e-01,
-1.49040e-03,5.00e+00,4.00e-01,
-1.48940e-03,0.00e+00,7.99e-02,
-1.48840e-03,4.00e-01,5.28e+00,
-1.48740e-03,0.00e+00,4.88e+00,
-1.48640e-03,4.00e-01,4.96e+00,
-1.48540e-03,2.00e-01,4.88e+00,
-1.48440e-03,4.00e-01,5.20e+00,
-1.48340e-03,5.20e+00,4.88e+00,
-1.48240e-03,5.20e+00,4.96e+00,
-1.48140e-03,4.80e+00,2.40e-01,
-1.48040e-03,4.80e+00,1.60e-01,
-1.47940e-03,5.00e+00,2.40e-01,
-1.47840e-03,5.00e+00,2.40e-01,
-1.47740e-03,4.80e+00,1.36e+00,
-1.47640e-03,4.80e+00,2.40e-01,
-1.47540e-03,5.00e+00,3.20e-01,
-1.47440e-03,0.00e+00,2.40e-01,
-1.47340e-03,4.00e-01,5.12e+00,
-1.47240e-03,2.00e-01,4.96e+00,
-1.47140e-03,2.00e-01,4.96e+00,
-1.47040e-03,-2.00e-01,4.40e+00,
-1.46940e-03,5.00e+00,5.12e+00,
-1.46840e-03,5.00e+00,4.96e+00,
-1.46740e-03,4.80e+00,-1.60e-01,
-1.46640e-03,5.00e+00,2.40e-01,
-1.46540e-03,4.80e+00,1.60e-01,
-1.46440e-03,5.00e+00,2.40e-01,
-1.46340e-03,4.80e+00,2.40e-01,
-1.46240e-03,5.00e+00,2.40e-01,
-1.46140e-03,4.80e+00,2.40e-01,
-1.46040e-03,4.80e+00,2.40e-01,
-1.45940e-03,5.20e+00,5.52e+00,
-1.45840e-03,2.00e-01,4.96e+00,
-1.45740e-03,-2.00e-01,4.80e+00,
-1.45640e-03,0.00e+00,4.96e+00,
-1.45540e-03,4.00e-01,5.28e+00,
-1.45440e-03,2.00e-01,4.96e+00,
-1.45340e-03,5.20e+00,4.88e+00,
-1.45240e-03,5.20e+00,-3.20e-01,
-1.45140e-03,4.80e+00,2.40e-01,
-1.45040e-03,5.00e+00,2.40e-01,
-1.44940e-03,4.80e+00,1.60e-01,
-1.44840e-03,4.80e+00,2.40e-01,
-1.44740e-03,5.00e+00,2.40e-01,
-1.44640e-03,5.00e+00,2.40e-01,
-1.44540e-03,5.00e+00,5.20e+00,
-1.44440e-03,4.80e+00,4.96e+00,
-1.44340e-03,0.00e+00,4.96e+00,
-1.44240e-03,2.00e-01,4.88e+00,
-1.44140e-03,4.00e-01,5.20e+00,
-1.44040e-03,2.00e-01,4.96e+00,
-1.43940e-03,5.00e+00,4.96e+00,
-1.43840e-03,4.80e+00,4.96e+00,
-1.43740e-03,5.20e+00,1.60e-01,
-1.43640e-03,4.80e+00,2.40e-01,
-1.43540e-03,5.00e+00,2.40e-01,
-1.43440e-03,4.80e+00,8.00e-01,
-1.43340e-03,5.00e+00,2.40e-01,
-1.43240e-03,4.80e+00,2.40e-01,
-1.43140e-03,5.00e+00,5.12e+00,
-1.43040e-03,4.80e+00,5.04e+00,
-1.42940e-03,2.00e-01,4.96e+00,
-1.42840e-03,-2.00e-01,4.80e+00,
-1.42740e-03,4.00e-01,5.12e+00,
-1.42640e-03,2.00e-01,5.12e+00,
-1.42540e-03,5.20e+00,4.88e+00,
-1.42440e-03,5.20e+00,4.96e+00,
-1.42340e-03,5.00e+00,-7.99e-02,
-1.42240e-03,5.00e+00,2.40e-01,
-1.42140e-03,4.80e+00,-7.99e-02,
-1.42040e-03,5.00e+00,4.00e-01,
-1.41940e-03,4.80e+00,-1.60e-01,
-1.41840e-03,4.80e+00,2.40e-01,
-1.41740e-03,5.00e+00,2.40e-01,
-1.41640e-03,5.00e+00,5.12e+00,
-1.41540e-03,2.00e-01,4.96e+00,
-1.41440e-03,2.00e-01,4.88e+00,
-1.41340e-03,6.00e-01,5.28e+00,
-1.41240e-03,4.00e-01,5.04e+00,
-1.41140e-03,2.00e-01,4.88e+00,
-1.41040e-03,5.20e+00,5.12e+00,
-1.40940e-03,5.00e+00,7.99e-02,
-1.40840e-03,5.00e+00,1.60e-01,
-1.40740e-03,4.80e+00,2.40e-01,
-1.40640e-03,4.80e+00,2.40e-01,
-1.40540e-03,5.00e+00,1.60e-01,
-1.40440e-03,5.00e+00,2.40e-01,
-1.40340e-03,5.00e+00,2.40e-01,
-1.40240e-03,5.00e+00,2.40e-01,
-1.40140e-03,0.00e+00,5.20e+00,
-1.40040e-03,2.00e-01,4.96e+00,
-1.39940e-03,0.00e+00,4.88e+00,
-1.39840e-03,2.00e-01,5.20e+00,
-1.39740e-03,4.00e-01,4.88e+00,
-1.39640e-03,2.00e-01,4.96e+00,
-1.39540e-03,5.20e+00,5.60e-01,
-1.39440e-03,4.80e+00,1.60e-01,
-1.39340e-03,5.20e+00,2.40e-01,
-1.39240e-03,4.80e+00,-7.99e-02,
-1.39140e-03,5.20e+00,3.20e-01,
-1.39040e-03,4.80e+00,2.40e-01,
-1.38940e-03,5.20e+00,2.40e-01,
-1.38840e-03,4.80e+00,2.40e-01,
-1.38740e-03,5.00e+00,5.20e+00,
-1.38640e-03,4.00e-01,4.96e+00,
-1.38540e-03,0.00e+00,4.96e+00,
-1.38440e-03,4.00e-01,4.96e+00,
-1.38340e-03,2.00e-01,5.04e+00,
-1.38240e-03,4.00e-01,4.96e+00,
-1.38140e-03,5.00e+00,4.88e+00,
